CUSTOMER_ID,CUSTOMER_FIRST_NAME,CUSTOMER_LAST_NAME,CUSTOMER_AGE,CUSTOMER_EMAIL,CREATED_BY,MODIFIED_BY,CREATED_AT,MODIFIED_AT,PHONE,CITY_ID
57,Jennifer,Conway,60,timothychase@yahoo.com,System,Manager,06/01/2025,04/01/2025,(683)330-8750,27
63,Franklin,Mitchell,45,edwardsdavid@gmail.com,User,Reviewer,05/01/2025,06/01/2025,053-180-4203,47
69,Charles,Smith,34,fnorris@yahoo.com,User,Reviewer,06/01/2025,05/01/2025,019.416.0778,49
74,Kathryn,Foster,57,taylorronnie@johnson.com,User,Reviewer,04/01/2025,04/01/2025,867-525-3931,97
80,Martin,Smith,61,johnjohnson@hodge.com,User,Reviewer,02/01/2025,04/01/2025,(289)268-0375x2,77
85,Stephanie,Walsh,61,jennifer08@webb.org,System,Manager,03/01/2025,04/01/2025,1201115091,30
90,Anna,Hammond,19,williamfoster@heath.com,User,Reviewer,02/01/2025,02/01/2025,001-228-303-806,99
21,Jennifer,Stephens,26,woodardbailey@yahoo.com,User,Reviewer,06/01/2025,02/01/2025,756.264.7307x93,81
51,Gina,Murphy,47,wheelercatherine@jacobs.biz,System,Manager,06/01/2025,03/01/2025,386-210-9292x17,44
87,Brad,Harper,35,williampalmer@schmidt.info,System,Manager,03/01/2025,06/01/2025,279.855.1874x99,14
1,Sarah,Murphy,62,christopher90@cook.org,Admin,Editor,05/01/2025,04/01/2025,893.814.8736,93
2,George,Johnston,60,boyerryan@hotmail.com,Admin,Editor,01/01/2025,01/01/2025,795-782-6184,16
3,Kayla,Leon,32,maxwellandrew@hotmail.com,User,Manager,02/01/2025,02/01/2025,(505)279-9607,53
4,Maureen,Erickson,64,barbarahansen@rodriguez-schmidt.com,System,Editor,05/01/2025,05/01/2025,001-053-550-701,36
5,Madison,Williams,27,princemitchell@hotmail.com,Admin,Editor,03/01/2025,04/01/2025,(040)952-3707,17
6,Nancy,Vargas,38,kristinecampbell@hotmail.com,Admin,Manager,01/01/2025,06/01/2025,852.163.3097x62,66
7,Brian,Gordon,43,vrodriguez@yahoo.com,Admin,Reviewer,02/01/2025,05/01/2025,207-685-8623,6
8,Tina,Holden,48,xvillanueva@gmail.com,Admin,Editor,02/01/2025,01/01/2025,001-215-565-845,94
9,Stanley,Torres,56,walterscorey@gmail.com,User,Editor,06/01/2025,02/01/2025,059-099-8710x41,18
10,Bill,Freeman,23,william32@martinez.com,System,Editor,01/01/2025,04/01/2025,(997)175-1833x9,95
11,Joseph,Garcia,59,samanthacarpenter@gmail.com,User,Manager,04/01/2025,04/01/2025,001-965-697-680,19
12,Sara,Jones,37,colemanemily@yahoo.com,User,Editor,04/01/2025,03/01/2025,001-109-161-911,67
13,Tyler,Hubbard,43,barkerkaren@thomas-graham.com,System,Editor,05/01/2025,05/01/2025,9031731605,54
14,Dennis,Oneill,47,ruizjustin@yahoo.com,Admin,Manager,05/01/2025,01/01/2025,739.942.3968,37
15,Bryan,Hill,21,thomaswilliams@hotmail.com,System,Editor,02/01/2025,01/01/2025,+1-658-171-5706,38
16,Blake,Mueller,38,haroldanderson@gmail.com,Admin,Editor,06/01/2025,05/01/2025,5594771355,7
17,Matthew,Joseph,57,smithsusan@gilmore.com,Admin,Reviewer,04/01/2025,04/01/2025,+1-289-661-5967,8
18,Joseph,Adkins,35,byoung@gmail.com,System,Editor,03/01/2025,05/01/2025,001-468-931-124,20
19,Amy,Moore,64,pattersonkenneth@gmail.com,Admin,Reviewer,05/01/2025,05/01/2025,811.114.8370x98,80
20,Gregory,Stephenson,52,smithtrevor@yahoo.com,User,Editor,02/01/2025,05/01/2025,(664)749-4265x0,68
22,Emily,Burton,28,toddgonzalez@burton-dawson.com,User,Manager,06/01/2025,04/01/2025,(974)132-3343,21
23,Jeffrey,Gonzales,50,ajordan@santos.com,System,Editor,03/01/2025,06/01/2025,(758)526-2667,69
24,Juan,Sullivan,45,holly67@hotmail.com,Admin,Reviewer,01/01/2025,04/01/2025,737-087-6867x48,22
25,Kimberly,Reed,19,bobby91@hotmail.com,Admin,Reviewer,03/01/2025,02/01/2025,(653)928-4241x1,39
26,Jessica,Miles,39,laura60@pope-callahan.com,Admin,Reviewer,06/01/2025,04/01/2025,144.541.5043,70
27,Jamie,Hughes,19,qmerritt@hotmail.com,User,Manager,04/01/2025,03/01/2025,275-819-8261x34,71
28,Steven,Lewis,34,ibean@yahoo.com,Admin,Manager,01/01/2025,02/01/2025,(206)396-8559,55
29,Terrence,Bailey,63,simmonsbrandon@yahoo.com,User,Reviewer,02/01/2025,06/01/2025,950.169.2767x49,23
30,Christopher,Moon,43,yolandawilliams@gmail.com,System,Manager,04/01/2025,05/01/2025,001-145-122-468,40
31,Keith,Coleman,44,bwalker@hartman-aguirre.net,Admin,Reviewer,04/01/2025,05/01/2025,+1-525-148-4650,24
32,James,Craig,44,davisedward@moreno-jackson.net,Admin,Manager,05/01/2025,04/01/2025,(056)309-0938x7,1
33,Timothy,Horton,34,moralesrichard@hotmail.com,System,Reviewer,04/01/2025,02/01/2025,853.930.3402x40,41
34,Michele,Williams,54,brandonwilliams@hotmail.com,System,Editor,03/01/2025,01/01/2025,+1-023-657-2394,9
35,Victor,Miller,40,carolinekhan@yahoo.com,System,Manager,05/01/2025,03/01/2025,001-584-690-269,42
36,Manuel,Brown,52,michellegreen@russell.org,Admin,Reviewer,06/01/2025,03/01/2025,(912)509-6513x5,25
37,William,Castro,53,jasongardner@yahoo.com,Admin,Editor,02/01/2025,03/01/2025,143.250.3717x05,96
38,Dennis,Cummings,33,brendamassey@scott-ashley.com,Admin,Reviewer,04/01/2025,03/01/2025,001-285-841-739,10
39,Cody,Smith,62,espinozakenneth@romero-morales.org,User,Reviewer,02/01/2025,05/01/2025,001-759-015-112,72
40,Michele,Johnson,35,nadams@martin.info,User,Reviewer,02/01/2025,06/01/2025,576.433.6006,82
41,Eric,Jimenez,36,iwebster@rodriguez.com,Admin,Editor,04/01/2025,06/01/2025,797-946-3973x03,73
42,Brittany,Garcia,60,kelleydanielle@gmail.com,Admin,Editor,01/01/2025,06/01/2025,131.170.9661x13,83
43,Daniel,Cantu,43,sjohnson@yahoo.com,User,Manager,06/01/2025,03/01/2025,093-835-2045x47,11
44,Garrett,Davis,30,elizabethgarcia@trujillo-gallegos.net,Admin,Reviewer,03/01/2025,04/01/2025,001-395-947-447,43
45,Wanda,Wiley,56,gcastillo@mccarthy.com,Admin,Editor,02/01/2025,02/01/2025,+1-295-306-5329,84
46,Amanda,Shields,52,lisataylor@owens-carr.org,System,Manager,06/01/2025,03/01/2025,541-147-2442,56
47,Mark,Mclaughlin,34,lauren49@flores.info,System,Editor,06/01/2025,02/01/2025,460.704.2562x93,57
48,Bonnie,Thomas,38,kimberly03@lara.com,System,Reviewer,06/01/2025,03/01/2025,+1-989-385-0907,74
49,Maria,Hoffman,41,johnsondiana@smith.com,User,Reviewer,01/01/2025,03/01/2025,9755110888,85
50,Willie,Mills,28,amanda17@davis.info,System,Reviewer,04/01/2025,03/01/2025,(369)291-4863,86
52,Natasha,Lewis,22,brendagraham@romero.biz,System,Manager,01/01/2025,05/01/2025,001-784-488-077,75
53,Ivan,Brown,62,batesjose@villanueva.org,System,Editor,02/01/2025,04/01/2025,451.632.8549x09,87
54,Nathaniel,Carr,42,paul59@gmail.com,User,Reviewer,04/01/2025,03/01/2025,(090)820-0843,26
55,Melissa,Ferguson,33,keithhenderson@short-page.com,User,Manager,01/01/2025,06/01/2025,7588040676,58
56,Michael,Harris,32,gregoryrobinson@hotmail.com,Admin,Editor,05/01/2025,03/01/2025,644-978-7785x95,12
58,Victor,Morton,61,bondmichael@yahoo.com,Admin,Manager,05/01/2025,01/01/2025,4736168542,28
59,Jessica,Sandoval,56,matthewreynolds@morales-vasquez.com,User,Manager,05/01/2025,02/01/2025,+1-430-019-0552,45
60,Whitney,Russell,20,lopezrobert@bird.biz,User,Editor,05/01/2025,01/01/2025,988.748.7209x13,46
61,Richard,Joseph,44,omeyers@manning.biz,Admin,Manager,05/01/2025,05/01/2025,393.077.0180x53,59
62,Thomas,Bean,38,mfields@sanders.info,Admin,Manager,05/01/2025,05/01/2025,(190)886-6251x0,13
64,Jessica,Coleman,56,harrelltyler@sullivan.net,System,Editor,02/01/2025,03/01/2025,421-953-7885x31,60
65,Antonio,Perez,19,david84@gmail.com,System,Editor,04/01/2025,04/01/2025,293-029-4572x19,88
66,Luis,Johnson,45,kbrown@gmail.com,System,Reviewer,03/01/2025,03/01/2025,663.705.4662x80,48
67,Holly,Crawford,29,monica75@hotmail.com,Admin,Manager,02/01/2025,05/01/2025,(916)831-6523,76
68,Joyce,Woodward,47,silvacharles@yahoo.com,User,Editor,06/01/2025,03/01/2025,(662)658-5104,89
70,Charles,Harrell,26,hamiltonbilly@yahoo.com,Admin,Reviewer,04/01/2025,03/01/2025,001-813-790-296,61
71,Joshua,Castillo,21,mperry@leon.com,Admin,Reviewer,03/01/2025,01/01/2025,700-241-9639x91,62
72,Kelsey,Bautista,41,kathystrickland@hotmail.com,Admin,Reviewer,04/01/2025,05/01/2025,897.537.5108,2
73,Michael,Molina,58,christina90@hotmail.com,User,Manager,05/01/2025,02/01/2025,025-782-1574,3
75,Daryl,Simmons,18,emily11@yahoo.com,Admin,Reviewer,06/01/2025,06/01/2025,001-236-263-491,50
76,William,Rose,29,jonesjill@espinoza-scott.com,User,Manager,03/01/2025,03/01/2025,837-165-5030x57,90
77,Eric,Cortez,44,karen34@cook-moss.com,System,Manager,01/01/2025,05/01/2025,939.435.2691x63,98
78,Michael,Tyler,59,martinjennifer@brock.com,User,Editor,03/01/2025,01/01/2025,384.887.7859x67,29
